City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,midoun,33.8081,10.9923,22.920000000000016,62,0,4.85,TN,1684746483
66,nouadhibou,20.931,-17.0347,17.99000000000001,88,99,7.2,MR,1684745721
67,yellowknife,62.456,-114.3525,9.200000000000045,57,14,6.71,CA,1684746484
68,talas,38.6908,35.5538,21.370000000000005,40,75,1.03,TR,1684746484
69,quellon,-43.1167,-73.6167,0.1400000000000432,100,3,1.03,CL,1684745950
70,mahibadhoo,3.7833,72.9667,29.100000000000023,70,69,2.41,MV,1684746485
71,hirara,24.8,125.2833,28.150000000000034,89,75,6.69,JP,1684745927
72,zykovo,55.9519,93.1461,20.410000000000025,38,76,5.87,RU,1684746486
73,thinadhoo,0.5333,72.9333,28.879999999999995,68,7,0.56,MV,1684746486
74,puerto ayora,-0.7393,-90.3518,25.310000000000002,91,77,1.79,EC,1684745899
75,punta arenas,-53.15,-70.9167,-0.9399999999999977,86,20,2.57,CL,1684745912
76,samho-rodongjagu,39.9475,127.8711,16.74000000000001,64,65,2.16,KP,1684746487
77,atafu village,-8.5421,-172.5159,28.620000000000005,78,97,4.6,TK,1684745919
78,dudinka,69.4058,86.1778,0.9000000000000341,100,100,4.16,RU,1684745957
79,masterton,-40.9597,175.6575,10.490000000000009,96,100,0.4,NZ,1684746488
80,kolonia,50.9333,6.95,23.660000000000025,79,75,2.57,DE,1684746354
81,tindouf,27.6711,-8.1474,18.390000000000043,45,1,9.8,DZ,1684746488
82,port augusta,-32.5,137.7667,13.960000000000036,63,0,3.29,AU,1684745973
83,ventspils,57.3894,21.5606,18.960000000000036,52,0,4.12,LV,1684746489
84,vorgashor,67.5833,63.95,5.610000000000014,100,100,3.82,RU,1684745937
85,weno,7.4515,151.8468,28.310000000000002,81,100,8.83,FM,1684745964
86,afaahiti,-17.75,-149.2833,25.930000000000007,77,14,4.29,PF,1684745930
87,mount gambier,-37.8333,140.7667,12.160000000000025,72,100,2.68,AU,1684745926
88,talnakh,69.4865,88.3972,0.6700000000000159,100,100,2.86,RU,1684745906
89,hermanus,-34.4187,19.2345,15.450000000000045,61,100,4.68,ZA,1684746490
90,thompson,55.7435,-97.8558,3.090000000000032,65,75,1.03,CA,1684745872
91,dukhan,25.4297,50.7858,32.660000000000025,48,1,1.05,QA,1684746490
92,riosucio,5.4216,-75.7032,15.410000000000025,99,100,0.14,CO,1684746490
93,natchitoches,31.7668,-93.1335,17.99000000000001,88,0,1.54,US,1684746490
94,port alfred,-33.5906,26.891,16.77000000000004,86,63,0.45,ZA,1684745956
95,prabumulih,-3.45,104.25,30.510000000000048,65,100,1.61,ID,1684746491
96,taunggyi,20.7833,97.0333,30.08000000000004,30,66,3.02,MM,1684746491
97,anadyr,64.75,177.4833,-0.7199999999999704,100,100,2.0,RU,1684745905
98,itaueira,-7.6033,-43.0256,21.720000000000027,74,58,2.93,BR,1684746491
99,wanning,18.8003,110.3967,30.370000000000005,80,4,5.61,CN,1684746491
100,saipan,15.1355,145.701,29.390000000000043,100,40,6.69,MP,1684745967
101,san patricio,28.017,-97.5169,24.350000000000023,87,34,2.5,US,1684745926
102,susuman,62.7833,148.1667,3.830000000000041,77,100,3.95,RU,1684746492
103,gaspe,48.8334,-64.4819,2.0200000000000387,71,5,3.71,CA,1684746492
104,ghanzi,-21.5667,21.7833,23.850000000000023,21,0,1.78,BW,1684745719
105,filadelfia,39.9523,-75.1638,15.210000000000036,84,0,1.54,US,1684746338
106,bilibino,68.0546,166.4372,3.9399999999999977,86,100,4.27,RU,1684745900
107,puerto baquerizo moreno,-0.9,-89.6,24.77000000000004,80,76,4.02,EC,1684745944
108,lompoc,34.6391,-120.4579,13.210000000000036,85,100,4.47,US,1684745961
109,hotan,37.0997,79.9269,32.60000000000002,7,0,5.25,CN,1684745946
110,malango,-2.9627,119.9001,21.660000000000025,98,86,0.45,ID,1684746493
111,chust,41.0094,71.2287,30.660000000000025,19,65,3.97,UZ,1684746493
112,stephenville,32.2207,-98.2023,15.430000000000007,88,0,0.0,US,1684746493
113,tazacorte,28.629,-17.9293,18.970000000000027,82,75,5.14,ES,1684746493
114,ilulissat,69.2167,-51.1,-8.399999999999977,81,32,3.39,GL,1684745931
115,port lincoln,-34.7333,135.8667,15.110000000000014,70,98,1.72,AU,1684745949
116,bandon,51.7469,-8.7425,12.770000000000039,75,50,6.9,IE,1684746494
117,togur,58.3631,82.8265,19.939999999999998,29,29,5.85,RU,1684745991
118,colonia,50.9333,6.95,22.08000000000004,80,100,2.57,DE,1684745951
119,lodja,-3.4833,23.4333,31.680000000000007,52,100,0.51,CD,1684745720
120,bato,13.3528,123.3677,29.950000000000045,70,38,1.2,PH,1684746494
